cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power,soln_optimal
8.0,1958400.0,726750000.0,2133000000.0,1.0,21.620543479919437,15.752,16.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,1958400.0,522750000.0,2133000000.0,1.0,21.255231857299805,15.751,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,17.0,9.0,4.0,9.0,0.08,30.0,1.0,4.0,2201600.0,318750000.0,3199000000.0,1.0,18.83348846435547,16.351,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,18.225695610046387,17.761,18.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,19.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,20.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,21.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,22.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,23.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,24.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,25.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,26.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,27.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,28.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,29.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,30.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,31.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,32.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,33.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,34.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,35.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,36.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,37.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,38.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,39.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,40.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,41.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,42.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,43.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,44.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,45.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,46.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,47.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,48.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,49.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,50.0,9.0,4.0,9.0,0.08,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,10.0,10.0,4.0,10.0,0.09,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,11.0,10.0,4.0,10.0,0.09,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,12.0,10.0,4.0,10.0,0.09,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,13.0,10.0,4.0,10.0,0.09,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,665600000.0,1.0,32.63043212890625,13.946,14.0,11.0,4.0,11.0,0.09,30.0,1.0,8.0,1651200.0,318750000.0,665600000.0,1.0,27.07155132293701,13.746,1.0
8.0,1651200.0,930750000.0,665600000.0,1.0,27.951151847839355,14.849,15.0,10.0,4.0,10.0,0.09,30.0,1.0,12.0,1651200.0,522750000.0,2133000000.0,1.0,23.94384002685547,14.948,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,21.620543479919437,15.752,16.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,1958400.0,522750000.0,2133000000.0,1.0,21.255231857299805,15.751,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,17.0,9.0,4.0,9.0,0.09,30.0,1.0,4.0,2201600.0,318750000.0,3199000000.0,1.0,18.83348846435547,16.351,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,18.225695610046387,17.761,18.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,19.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,20.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,21.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,22.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,23.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,24.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,25.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,26.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,27.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,28.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,29.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,30.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,31.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,32.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,33.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,34.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,35.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,36.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,37.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,38.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,39.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,40.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,41.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,42.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,43.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,44.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,45.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,46.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,47.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,48.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,49.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,50.0,9.0,4.0,9.0,0.09,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,10.0,10.0,4.0,10.0,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,11.0,10.0,4.0,10.0,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,12.0,10.0,4.0,10.0,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,13.0,10.0,4.0,10.0,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,665600000.0,1.0,32.63043212890625,13.946,14.0,11.0,4.0,11.0,0.1,30.0,1.0,8.0,1651200.0,318750000.0,665600000.0,1.0,27.07155132293701,13.746,1.0
8.0,1651200.0,930750000.0,665600000.0,1.0,27.951151847839355,14.849,15.0,10.0,4.0,10.0,0.1,30.0,1.0,12.0,1651200.0,522750000.0,2133000000.0,1.0,23.94384002685547,14.948,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,21.620543479919437,15.752,16.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,1958400.0,522750000.0,2133000000.0,1.0,21.255231857299805,15.751,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,17.0,9.0,4.0,9.0,0.1,30.0,1.0,4.0,2201600.0,318750000.0,3199000000.0,1.0,18.83348846435547,16.351,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,18.225695610046387,17.761,18.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,19.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,20.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,21.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,22.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,23.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,24.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,25.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,26.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,27.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,28.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,29.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,30.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,31.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,32.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,33.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,34.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,35.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,36.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,37.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,38.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,39.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,40.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,41.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,42.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,43.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,44.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,45.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,46.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,47.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,48.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,49.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,50.0,9.0,4.0,9.0,0.1,30.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,10.0,10.0,4.0,10.0,0.11,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,11.0,10.0,4.0,10.0,0.11,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,12.0,10.0,4.0,10.0,0.11,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,13.0,10.0,4.0,10.0,0.11,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,665600000.0,1.0,32.63043212890625,13.946,14.0,11.0,4.0,11.0,0.11,30.0,1.0,8.0,1651200.0,318750000.0,665600000.0,1.0,27.07155132293701,13.746,1.0
8.0,1651200.0,930750000.0,665600000.0,1.0,27.951151847839355,14.849,15.0,10.0,4.0,10.0,0.11,30.0,1.0,12.0,1651200.0,522750000.0,2133000000.0,1.0,23.94384002685547,14.948,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,21.620543479919437,15.752,16.0,9.0,4.0,9.0,0.11,30.0,1.0,12.0,1958400.0,522750000.0,2133000000.0,1.0,21.255231857299805,15.751,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,17.0,9.0,4.0,9.0,0.11,30.0,1.0,4.0,2201600.0,318750000.0,3199000000.0,1.0,18.83348846435547,16.351,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,18.225695610046387,17.761,18.0,9.0,4.0,9.0,0.11,30.0,1.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857,1.0
